SourceID,TargetID,Source,Target,Line
220,108,Xilang,Kengoku,1
108,78,Kengoku,Huadiwan,
78,45,Huadiwan,Fangcun,
45,88,Fangcun,Huangsha,
88,17,Huangsha,Changshou Lu,
17,21,Changshou Lu,Chen Clan Academy,
21,221,Chen Clan Academy,Ximenkou,
221,57,Ximenkou,Gongyuanqian,
57,143,Gongyuanqian,Peasant Movement Institute,
143,126,Peasant Movement Institute,Martyrs' Park,
126,41,Martyrs' Park,Dongshankou,
41,232,Dongshankou,Yangji,
232,195,Yangji,Tiyu Xilu,
195,192,Tiyu Xilu,Tianhe Sports Centre,
192,59,Tianhe Sports Centre,Guangzhou East Railway Station,
62,164,Guangzhou South Railway Station,Shibi,2
164,89,Shibi,Huijang,
89,131,Huijang,Nampu,
131,123,Nampu,Luoxi,
123,139,Luoxi,Nanzhou,
139,43,Nanzhou,Dongxiaonan,
43,92,Dongxiaonan,Jiangtai Lu,
92,15,Jiangtai Lu,Changgang,
15,91,Changgang,Jiangnanxi,
91,188,Jiangnanxi,The 2nd Workers' Cultural Palace,
188,67,The 2nd Workers' Cultural Palace,Haizhu Square,
67,57,Haizhu Square,Gongyuanqian,
57,177,Gongyuanqian,Sun Yat-sen Memorial Hall,
177,237,Sun Yat-sen Memorial Hall,Yuexiu Park,
237,61,Yuexiu Park,Guangzhou Railway Station,
61,152,Guangzhou Railway Station,Sanyuanti,
152,51,Sanyuanti,Fiexiang Park,
51,5,Fiexiang Park,Baiyun Park,
5,3,Baiyun Park,Baiyun Culture Square,
3,214,Baiyun Culture Square,Xiao-gang,
214,93,Xiao-gang,Jiangxia,
93,84,Jiangxia,Huangbian,
84,90,Huangbian,Jiahewanggang,
141,170,Panyu Square,Shiquiao,3
170,69,Shiquiao,Hanxi Changlong,
69,33,Hanxi Changlong,Dashi,
33,207,Dashi,Xiajiao,
207,115,Xiajiao,Lijiao,
115,34,Lijiao,Datang,
34,105,Datang,Kecun,
105,13,Kecun,Canton Tower,
13,250,Canton Tower,Zhujiang New Town,
250,195,Zhujiang New Town,Tiyu Xilu,
195,168,Tiyu Xilu,Shipaiqiao,
168,53,Shipaiqiao,Gangding,
53,176,Gangding,South China Normal University,
176,205,South China Normal University,Wushan,
205,189,Wushan,Tianhe Coach Terminal,
195,116,Tiyu Xilu,Linhexi,
116,59,Linhexi,Guangzhou East Railway Station,
59,233,Guangzhou East Railway Station,Yantang,
233,128,Yantang,Meihuayuan,
128,99,Meihuayuan,Jingxi Nanfang Hospital,
99,198,Jingxi Nanfang Hospital,Tonghe,
198,235,Tonghe,Yongtai,
235,6,Yongtai,Baiyundadobei,
6,90,Baiyundadobei,Jiahewanggang,
90,118,Jiahewanggang,Longgui,
118,149,Longgui,Renhe,
149,55,Renhe,Gaozeng,
55,1,Gaozeng,Airport S.,
1,0,Airport S.,Airport N.,
138,137,Nansha Passenger Port,Nanheng,4
137,185,Nanheng,Tangkeng,
185,29,Tangkeng,Dachong,
29,58,Dachong,Guanglong,
58,47,Guanglong,Feishajiao,
47,102,Feishajiao,Jinzhou,
102,95,Jinzhou,Jiaomen,
95,86,Jiaomen,Huangge,
86,87,Huangge,Huangge Auto Town,
87,147,Huangge Auto Town,Qingsheng,
147,37,Qingsheng,Dongchong,
