ID,Station,Degree,Eccentricity,Closeness,Betweenness
0,Airport N.,1,40,0.0503984063745019,0.0
1,Airport S.,2,39,0.0530620805369127,0.0079051383399209
2,Baijiang,2,42,0.0452351153227248,0.0235271974402409
3,Baiyun Culture Square,2,36,0.0652903225806451,0.0906282096687704
4,Baiyun Dongping,2,36,0.06273245722787,0.0997601097238778
5,Baiyun Park,2,35,0.0675026680896478,0.0946111027820983
6,Baiyundadobei,2,35,0.0662477088242995,0.1226967382952702
7,Banquiao,2,32,0.0694291986827661,0.0683615211565522
8,Baogang Dadao,2,30,0.0739117732982763,0.0386140088379877
9,Beijao Park,2,40,0.0452674897119341,0.0079051383399209
10,Beijing Lu,2,31,0.0749185667752443,0.0150976923021907
11,Botanical Garden,2,35,0.067937701396348,0.0563491690044485
12,Caihongqiao,2,33,0.0725136142161077,0.068937888832487
13,Canton Tower,2,27,0.0861130020422055,0.1444232993898909
14,Changban,2,34,0.0715902659875495,0.0622989358237805
15,Changgang,4,29,0.0775122549019607,0.0739546353535625
16,Changping,2,41,0.0560975609756097,0.1031070714041729
17,Changshou Lu,2,32,0.0712676056338028,0.0485904594600246
18,Chao'an,2,42,0.0443004727718438,0.0688876341050254
19,Chebei,2,33,0.0742153124083308,0.0928395783727045
20,Chebeinan,4,32,0.078062326442456,0.2513761418782122
21,Chen Clan Academy,4,32,0.0740632318501171,0.0830334436112717
22,Chencun,2,36,0.0549880460769397,0.0388982997678649
23,Chencunbei,2,35,0.0580408350539114,0.046489742141916
24,Chentougang,1,34,0.0612146140817807,0.0
25,Chicao,2,44,0.0433739070804045,0.0157475374866679
26,Chigang,2,27,0.0832510694307337,0.1021619627209686
27,Chonghua Coach Terminal,2,45,0.0415913200723327,0.0079051383399209
28,Cultural Park,4,32,0.0732272069464544,0.0697774182269759
29,Dachong,2,45,0.0377837514934289,0.0235271974402409
30,Daguannanlu,2,35,0.0693911135490949,0.1281724620751536
31,Dashadi,2,36,0.0608026916606584,0.0157475374866679
32,Dashadong,2,37,0.0573566084788029,0.0079051383399209
33,Dashi,2,29,0.0744555620953502,0.0618421347458614
34,Datang,2,26,0.0825179386823222,0.091787541462866
35,Dazhou,2,34,0.0614226754066521,0.0540184453227931
36,Dichong,2,36,0.0555555555555555,0.0907208733295689
37,Dongchong,2,37,0.0528846153846153,0.0835058661145617
38,Dongfeng,1,46,0.0399368587213891,0.0
39,Dongping,2,50,0.0330502939255388,0.0079051383399209
40,Dongpu,2,33,0.0730580421599769,0.1119894598155467
41,Dongshankou,4,28,0.0817976075008082,0.0988014890282911
42,Dongshu,2,29,0.0777027027027027,0.0190575810446881
43,Dongxiaonan,2,29,0.0752528256989887,0.0217406366733488
44,Ezhangtan,2,34,0.0693150684931506,0.0614844093104962
45,Fangcun,2,34,0.066701819140522,0.0590516224056597
46,Fei'eling,1,48,0.0364133563615428,0.0
47,Feishajiao,2,43,0.0407669996777312,0.0388982997678649
48,Fenggang,2,47,0.044277213860693,0.0312441182006399
49,Fenguang Xincun,2,32,0.0722238081644304,0.048972135333419
