ID,Eccentricity
0,28
1,23
2,23
3,32
4,36
5,23
6,26
7,29
8,25
9,22
10,25
11,21
12,23
13,30
14,32
15,25
16,23
17,25
18,32
19,25
20,23
21,23
22,22
23,27
24,21
25,23
26,31
27,28
28,25
29,28
30,22
31,26
32,31
33,31
34,23
35,23
36,24
37,25
38,26
39,24
40,27
41,35
42,24
43,22
44,20
45,36
46,32
47,28
48,34
49,23
50,22
51,24
52,32
53,30
54,28
55,21
56,33
57,34
58,33
59,33
60,26
61,30
62,29
63,24
64,29
65,28
66,29
67,29
68,30
69,32
70,23
71,22
72,35
73,20
74,35
75,21
76,22
77,33
78,23
79,29
80,23
81,24
82,26
83,30
84,23
85,27
86,27
87,22
88,33
89,22
90,20
91,33
92,28
93,34
94,26
95,26
96,31
97,29
98,35
99,27
100,36
101,37
102,38
103,37
104,29
105,33
106,24
107,23
108,27
109,34
110,21
111,26
112,24
113,36
114,34
115,33
116,35
117,21
118,33
119,21
120,27
121,25
122,24
123,34
124,29
125,25
126,22
127,25
128,22
129,27
130,21
131,23
132,28
133,21
134,26
135,27
136,22
137,22
138,32
139,26
140,25
141,23
142,22
143,23
144,24
145,30
146,25
147,32
148,22
149,30
150,22
151,25
152,31
153,22
154,30
155,30
156,25
157,28
158,32
159,30
160,34
161,26
162,31
163,30
164,25
165,31
166,23
167,32
168,22
169,21
170,24
171,31
172,27
173,32
174,21
175,22
176,29
177,27
178,25
179,28
180,26
181,26
182,24
183,27
184,29
185,29
186,22
187,30
188,33
189,31
190,25
191,32
192,32
193,31
194,22
195,25
196,27
197,28
198,22
199,28
200,29
201,30
202,23
203,33
204,33
205,29
206,29
207,30
208,30
209,21
210,20
211,23
212,22
213,28
214,28
215,25
216,21
217,30
218,25
219,31
220,32
221,24
222,21
223,34
224,26
225,27
226,21
227,26
228,32
229,24
230,25
231,27
232,26
233,38
234,37
235,31
236,28
237,35
238,22
239,21
240,28
241,28
242,22
243,25
244,20
245,34
246,31
247,24
248,31
249,25
250,30
251,26
252,24
253,28
254,25
255,33
256,26
257,19
258,28
259,24
260,26
261,28
262,32
263,31
264,27
265,29
266,30
267,31
