SourceID,TargetID,Source,Target,Line
98,123,Harrow & Wealdstone,Kenton,Bakerloo
123,203,Kenton,South Kenton,
203,158,South Kenton,North Wembley,
158,246,North Wembley,Wembley Central,
246,217,Wembley Central,Stonebridge Park,
217,97,Stonebridge Park,Harlesden,
97,261,Harlesden,Willesden Junction,
261,120,Willesden Junction,Kensal Green,
120,180,Kensal Green,Queen's Park,
180,125,Queen's Park,Kilburn Park,
125,139,Kilburn Park,Maida Vale,
139,243,Maida Vale,Warwick Avenue,
243,170,Warwick Avenue,Paddington,
170,70,Paddington,Edgware Road,
70,143,Edgware Road,Marylebone,
143,9,Marylebone,Baker Street,
9,186,Baker Street,Regent's Park,
186,169,Regent's Park,Oxford Circus,
169,174,Oxford Circus,Piccadilly Circus,
174,44,Piccadilly Circus,Charing Cross,
44,73,Charing Cross,Embankment,
73,244,Embankment,Waterloo,
244,130,Waterloo,Lambeth North,
130,71,Lambeth North,Elephant & Castle,
255,192,West Ruislip,Ruislip Gardens,Central
192,204,Ruislip Gardens,South Ruislip,
204,160,South Ruislip,Northolt,
160,91,Northolt,Greenford,
91,173,Greenford,Perivale,
173,96,Perivale,Hanger Lane,
96,154,Hanger Lane,North Acton,
154,64,North Acton,East Acton,
64,258,East Acton,White City,
258,196,White City,Shepherd's Bush,
196,111,Shepherd's Bush,Holland Park,
111,164,Holland Park,Notting Hill Gate,
164,182,Notting Hill Gate,Queensway,
182,131,Queensway,Lancaster Gate,
131,142,Lancaster Gate,Marble Arch,
142,24,Marble Arch,Bond Street,
24,169,Bond Street,Oxford Circus,
169,226,Oxford Circus,Tottenham Court Road,
226,110,Tottenham Court Road,Holborn,
110,43,Holborn,Chancery Lane,
43,212,Chancery Lane,St Paul's,
212,11,St Paul's,Bank,
11,136,Bank,Liverpool Street,
136,21,Liverpool Street,Bethnal Green,
21,144,Bethnal Green,Mile End,
144,218,Mile End,Stratford,
218,134,Stratford,Leyton,
134,135,Leyton,Leytonstone,
135,199,Leytonstone,Snaresbrook,
199,206,Snaresbrook,South Woodford,
206,266,South Woodford,Woodford,
266,32,Woodford,Buckhurst Hill,
32,138,Buckhurst Hill,Loughton,
138,59,Loughton,Debden,
59,223,Debden,Theydon Bois,
223,74,Theydon Bois,Epping,
135,241,Leytonstone,Wanstead,
241,185,Wanstead,Redbridge,
185,83,Redbridge,Gants Hill,
83,152,Gants Hill,Newbury Park,
152,14,Newbury Park,Barkingside,
14,77,Barkingside,Fairlop,
77,93,Fairlop,Hainault,
93,88,Hainault,Grange Hill,
88,46,Grange Hill,Chigwell,
46,189,Chigwell,Roding Valley,
189,266,Roding Valley,Woodford,
61,248,Ealing Broadway,West Acton,
248,154,West Acton,North Acton,
94,86,Hammersmith,Goldhawk Road,Circle
86,197,Goldhawk Road,Shepherd's Bush Market,
197,265,Shepherd's Bush Market,Wood Lane,
265,132,Wood Lane,Latimer Road,
132,129,Latimer Road,Ladbroke Grove,
129,256,Ladbroke Grove,Westbourne Park,
256,190,Westbourne Park,Royal Oak,
190,170,Royal Oak,Paddington,
170,70,Paddington,Edgware Road,
70,9,Edgware Road,Baker Street,
9,89,Baker Street,Great Portland Street,
89,76,Great Portland Street,Euston Square,
76,126,Euston Square,King's Cross & St Pancras International,
126,78,King's Cross & St Pancras International,Farringdon,
78,12,Farringdon,Barbican,
12,148,Barbican,Moorgate,
148,136,Moorgate,Liverpool Street,
136,1,Liverpool Street,Aldgate,
1,229,Aldgate,Tower Hill,
229,146,Tower Hill,Monument,
146,39,Monument,Cannon Street,
39,141,Cannon Street,Mansion House,
141,22,Mansion House,Blackfriars,
22,222,Blackfriars,Temple,
222,73,Temple,Embankment,
73,257,Embankment,Westminster,
257,210,Westminster,St James's Park,
210,239,St James's Park,Victoria,
239,198,Victoria,Sloane Square,
198,202,Sloane Square,South Kensington,
202,84,South Kensington,Gloucester Road,
84,106,Gloucester Road,High Street Kensington,
106,164,High Street Kensington,Notting Hill Gate,
164,17,Notting Hill Gate,Bayswater,
17,170,Bayswater,Paddington,
170,70,Paddington,Edgware Road,
61,62,Ealing Broadway,Ealing Common,District
62,0,Ealing Common,Acton Town,
0,47,Acton Town,Chiswick Park,
47,231,Chiswick Park,Turnham Green,
231,213,Turnham Green,Stamford Brook,
213,183,Stamford Brook,Ravenscourt Park,
183,94,Ravenscourt Park,Hammersmith,
94,15,Hammersmith,Barons Court,
15,254,Barons Court,West Kensington,
254,63,West Kensington,Earl's Court,
63,84,Earl's Court,Gloucester Road,
84,202,Gloucester Road,South Kensington,
202,198,South Kensington,Sloane Square,
198,239,Sloane Square,Victoria,
239,210,Victoria,St James's Park,
210,257,St James's Park,Westminster,
257,73,Westminster,Embankment,
73,222,Embankment,Temple,
222,22,Temple,Blackfriars,
22,141,Blackfriars,Mansion House,
141,39,Mansion House,Cannon Street,
39,146,Cannon Street,Monument,
146,229,Monument,Tower Hill,
229,2,Tower Hill,Aldgate East,
2,259,Aldgate East,Whitechapel,
259,215,Whitechapel,Stepney Green,
215,144,Stepney Green,Mile End,
144,28,Mile End,Bow Road,
28,31,Bow Road,Bromley-by-Bow,
31,251,Bromley-by-Bow,West Ham,
251,177,West Ham,Plaistow,
177,236,Plaistow,Upton Park,
236,66,Upton Park,East Ham,
66,13,East Ham,Barking,
13,235,Barking,Upney,
235,18,Upney,Becontree,
18,58,Becontree,Dagenham Heathway,
58,57,Dagenham Heathway,Dagenham East,
57,72,Dagenham East,Elm Park,
72,113,Elm Park,Hornchurch,
113,234,Hornchurch,Upminster Bridge,
234,233,Upminster Bridge,Upminster,
187,124,Richmond,Kew Gardens,
124,92,Kew Gardens,Gunnersbury,
92,231,Gunnersbury,Turnham Green,
262,263,Wimbledon,Wimbledon Park,
263,207,Wimbledon Park,Southfields,
207,67,Southfields,East Putney,
67,179,East Putney,Putney Bridge,
179,172,Putney Bridge,Parsons Green,
172,82,Parsons Green,Fulham Broadway,
82,249,Fulham Broadway,West Brompton,
249,63,West Brompton,Earl's Court,
63,121,Earl's Court,Kensington (Olympia),
63,106,Earl's Court,High Street Kensington,
106,164,High Street Kensington,Notting Hill Gate,
164,17,Notting Hill Gate,Bayswater,
17,170,Bayswater,Paddington,
170,70,Paddington,Edgware Road,
94,86,Hammersmith,Goldhawk Road,Ham
86,197,Goldhawk Road,Shepherd's Bush Market,
197,265,Shepherd's Bush Market,Wood Lane,
265,132,Wood Lane,Latimer Road,
132,129,Latimer Road,Ladbroke Grove,
129,256,Ladbroke Grove,Westbourne Park,
256,190,Westbourne Park,Royal Oak,
190,170,Royal Oak,Paddington,
170,70,Paddington,Edgware Road,
70,9,Edgware Road,Baker Street,
9,89,Baker Street,Great Portland Street,
89,76,Great Portland Street,Euston Square,
76,126,Euston Square,King's Cross & St Pancras International,
126,78,King's Cross & St Pancras International,Farringdon,
78,12,Farringdon,Barbican,
12,148,Barbican,Moorgate,
148,136,Moorgate,Liverpool Street,
136,2,Liverpool Street,Aldgate East,
2,259,Aldgate East,Whitechapel,
259,215,Whitechapel,Stepney Green,
215,144,Stepney Green,Mile End,
144,28,Mile End,Bow Road,
28,31,Bow Road,Bromley-by-Bow,
31,251,Bromley-by-Bow,West Ham,
251,177,West Ham,Plaistow,
177,236,Plaistow,Upton Park,
236,66,Upton Park,East Ham,
66,13,East Ham,Barking,
214,40,Stanmore,Canons Park,Jubilee
40,181,Canons Park,Queensbury,
181,127,Queensbury,Kingsbury,
127,247,Kingsbury,Wembley Park,
247,151,Wembley Park,Neasden,
151,60,Neasden,Dollis Hill,
60,260,Dollis Hill,Willesden Green,
260,125,Willesden Green,Kilburn Park,
125,252,Kilburn Park,West Hampstead,
252,80,West Hampstead,Finchley Road,
80,221,Finchley Road,Swiss Cottage,
221,211,Swiss Cottage,St John's Wood,
211,9,St John's Wood,Baker Street,
