ID,Station,Degree,Eccentricity,Closeness,Betweenness
0,Acton Town,4,28,0.0791580195671509,0.1192804107647396
1,Aldgate,2,23,0.0931937172774869,0.0078276214881773
2,Aldgate East,3,23,0.0933240125830129,0.0188157660067771
3,Alperton,2,32,0.0664675130694548,0.0221433734148104
4,Amersham,1,36,0.0489459211732355,0.0
5,Angel,2,23,0.1034482758620689,0.0426921705011592
6,Archway,2,26,0.0717163577759871,0.058348117484723
7,Arnos Grove,2,29,0.0630907372400756,0.0223029483821914
8,Arsenal,2,25,0.0830740510267579,0.000563205767227
9,Baker Street,7,22,0.1142490372272143,0.3158213104546637
10,Balham,2,25,0.0682689849143441,0.0368899777533721
11,Bank,5,21,0.1075745366639806,0.253931176255245
12,Barbican,2,23,0.1014437689969604,0.041300582917969
13,Barking,2,30,0.0609310816978548,0.058348117484723
14,Barkingside,2,32,0.05463474524248,0.011095153614373
15,Barons Court,3,25,0.0917525773195876,0.1503757051805542
16,Battersea Power Station,1,23,0.0843868520859671,0.0
17,Bayswater,2,25,0.0973386802770689,0.0509860794307866
18,Becontree,2,32,0.0546235679214402,0.0440990115738785
19,Belsize Park,2,25,0.0767020970985349,0.0512517248176621
20,Bermondsey,2,23,0.0911885245901639,0.0258835290473374
21,Bethnal Green,2,23,0.0955277280858676,0.2328475683590999
22,Blackfriars,2,22,0.089,0.0120957825274798
23,Blackhorse Road,2,27,0.0714285714285714,0.0074906367041198
24,Bond Street,4,21,0.117776797529775,0.2279885106023488
25,Borough,2,23,0.0905698778833107,0.0020768212666497
26,Boston Manor,2,31,0.0648530483361671,0.058348117484723
27,Bounds Green,2,28,0.0672205438066465,0.0296246233561431
28,Bow Road,2,25,0.0827650340979541,0.0063477983347882
29,Brent Cross,2,28,0.0628383148976229,0.0296246233561431
30,Brixton,1,22,0.0843601895734597,0.0
31,Bromley-by-Bow,2,26,0.0777292576419214,0.0004928050463236
32,Buckhurst Hill,2,31,0.0578297595841455,0.0296246233561431
33,Burnt Oak,2,31,0.0530287984111221,0.0074906367041198
34,Caledonian Road,2,23,0.0975164353542731,0.01061642871223
35,Camden Town,3,23,0.0896273917421953,0.1418996930528568
36,Canada Water,3,24,0.0857418111753371,0.0217580468023992
37,Canary Wharf,1,25,0.0789940828402366,0.0
38,Canning Town,2,26,0.0767241379310344,0.0057752058047741
39,Cannon Street,2,24,0.0801561092764935,0.003192907362038
40,Canons Park,2,27,0.0771230502599653,0.0074906367041198
41,Chalfont & Latimer,3,35,0.0514550009635767,0.0149531131198783
42,Chalk Farm,2,24,0.0826881387426447,0.058348117484723
43,Chancery Lane,2,22,0.1011363636363636,0.0103047881876976
44,Charing Cross,3,20,0.105868358445678,0.0069689673622257
45,Chesham,1,36,0.0489459211732355,0.0
