ID,Degree
0,2
1,2
2,2
3,1
4,1
5,2
6,2
7,2
8,2
9,2
10,6
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,1
19,2
20,4
21,2
22,2
23,2
24,2
25,2
26,2
27,7
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,4
42,2
43,4
44,2
45,4
46,2
47,2
48,2
49,2
50,2
51,2
52,3
53,2
54,3
55,2
56,2
57,2
58,4
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,5
68,2
69,2
70,2
71,2
72,5
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,4
94,4
95,4
96,4
97,2
98,2
99,2
100,2
101,2
102,2
103,1
104,1
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,1
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,1
128,2
129,2
130,2
131,2
132,4
133,2
134,2
135,2
136,2
137,2
138,4
139,2
140,2
141,4
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,5
154,4
155,2
156,2
157,5
158,4
159,4
160,1
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,1
176,2
177,5
178,4
179,3
180,2
181,2
182,4
183,5
184,2
185,4
186,2
187,2
188,2
189,2
190,3
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,4
202,4
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,6
218,2
219,2
220,2
221,2
222,2
223,4
224,2
225,2
226,2
227,2
228,2
229,1
230,2
231,2
232,4
233,2
234,2
235,2
236,2
237,2
238,1
239,2
240,2
241,2
