SourceID,TargetID,Source,Target,Line
171,32,Pinar de Chamartín ,Bambú,1
32,54,Bambú,Chamartín,
54,177,Chamartín,Plaza de Castilla,
177,227,Plaza de Castilla,Valdeacederas,
227,219,Valdeacederas,Tetuán,
219,84,Tetuán,Estrecho,
84,15,Estrecho,Alvarado,
15,67,Alvarado,Cuatro Caminos,
67,196,Cuatro Caminos,Ríos Rosas,
196,107,Ríos Rosas,Iglesia,
107,41,Iglesia,Bilbao,
41,223,Bilbao,Tribunal,
223,94,Tribunal,Gran Vía,
94,217,Gran Vía,Sol,
217,220,Sol,Tirso de Molina,
220,16,Tirso de Molina,Antón Martin,
16,82,Antón Martin,Estación del Arte,
82,26,Estación del Arte,Atocha,
26,145,Atocha,Menéndez Pelayo,
145,159,Menéndez Pelayo,Pacífico,
159,186,Pacífico,Puento de Vallecas,
186,152,Puento de Vallecas,Nueva Numancia,
152,180,Nueva Numancia,Portazgo,
180,42,Portazgo,Buenos Aires,
42,13,Buenos Aires,Alto del Arenal,
13,146,Alto del Arenal,Miguel Hernández,
146,215,Miguel Hernández,Sierra de Guadalupe,
215,237,Sierra de Guadalupe,Villa de Vallecas,
237,63,Villa de Vallecas,Congosto,
63,116,Congosto,La Gavia,
116,128,La Gavia,Las Suertes,
128,229,Las Suertes,Valdecarros,
67,45,Cuatro Caminos,Canal,2
45,191,Canal,Quevedo,
191,202,Quevedo,San Bernando,
202,151,San Bernando,Noviciado,
151,212,Noviciado,Santo Domingo,
212,157,Santo Domingo,Ópera,
157,217,Ópera,Sol,
217,214,Sol,Sevilla,
214,33,Sevilla,Banco de España,
33,194,Banco de España,Retiro,
194,182,Retiro,Príncipe de Vergara,
182,93,Príncipe de Vergara,Goya,
93,138,Goya,Manuel Becerra,
138,232,Manuel Becerra,Ventas,
232,114,Ventas,La Elipa,
114,113,La Elipa,La Almuedena,
113,11,La Almuedena,Alsacia,
11,28,Alsacia,Av. de Guadalajara,
28,127,Av. de Guadalajara,Las Rosas,
148,20,Moncloa,Argüelles,3
20,234,Argüelles,Ventura Rodríguez,
234,178,Ventura Rodríguez,Plaza de España,
178,43,Plaza de España,Callao,
43,217,Callao,Sol,
217,130,Sol,Lavapiés,
130,79,Lavapiés,Embajadores,
79,161,Embajadores,Palos de la Frontera,
161,71,Palos de la Frontera,Delicias,
71,132,Delicias,Legazpi,
132,7,Legazpi,Almendrales,
7,100,Almendrales,Hospital 12 de Octubre,
100,206,Hospital 12 de Octubre,San Fermín-Orcasur,
206,56,San Fermín-Orcasur,Ciudad de los Ángeles,
56,239,Ciudad de los Ángeles,Villaverde Bajo-Cruce,
239,205,Villaverde Bajo-Cruce,San Cristóbal,
205,238,San Cristóbal,Villaverde Alto,
171,137,Pinar de Chamartín ,Manoteras,4
137,99,Manoteras,Hortaleza,
99,165,Hortaleza,Parque de Santa María,
165,209,Parque de Santa María,San Lorenzo,
209,141,San Lorenzo,Mar de Cristal,
141,46,Mar de Cristal,Canillas,
46,81,Canillas,Esperanza,
81,24,Esperanza,Arturo Soria,
24,30,Arturo Soria,Av. de la Paz,
30,6,Av. de la Paz,Alfonso XIII,
6,184,Alfonso XIII,Prosperidad,
184,27,Prosperidad,Av. de América,
27,72,Av. de América,Diego de León,
72,133,Diego de León,Lista,
133,93,Lista,Goya,
93,231,Goya,Velázquez,
231,213,Velázquez,Serrano,
213,59,Serrano,Colón,
59,10,Colón,Alonso Martínez,
10,41,Alonso Martínez,Bilbao,
