ID,Station,Degree,Eccentricity,Closeness,Betweenness
0,Abrantes,2,30,0.0703855140186915,0.0408022130013831
1,Acacias,2,26,0.07922419460881,0.0172625839754989
2,Aeropuerto T1-T2-T3,2,32,0.0715770715770715,0.0165283540802213
3,Aeropuerto T4,1,34,0.0626788036410923,0.0
4,Alameda de Osuna,1,37,0.0560986964618249,0.0
5,Alcorcón Central,2,32,0.0582547739908146,0.0880186721991701
6,Alfonso XIII,2,29,0.0900934579439252,0.0198795527893038
7,Almendrales,2,30,0.0763141228625712,0.0487551867219917
8,Alonso Cano,2,27,0.1010906040268456,0.0087355924389119
9,Alonso de Mendoza,2,42,0.0383941373267484,0.014021438450899
10,Alonso Martínez,6,25,0.1109065807639208,0.2941844623794833
11,Alsacia,2,32,0.0766539440203562,0.0165283540802213
12,Alto de Extremadura,2,24,0.0881814855470179,0.0368858674175063
13,Alto del Arenal,2,35,0.0629571577847439,0.0566390041493775
14,Aluche,2,28,0.0731633272616879,0.0265434202726734
15,Alvarado,2,28,0.0915305734903152,0.0160546334716459
16,Antón Martin,2,26,0.0886681383370125,0.0392836560627017
17,Antonio Machado,2,30,0.0739944734418176,0.0408022130013831
18,Arganda del Rey,1,43,0.0437624841111312,0.0
19,Arganzuela-Planetario,2,30,0.0818892286782195,0.0682693843443325
20,Argüelles,4,23,0.1000415110004151,0.0586776740433379
21,Arroyo Culebro,2,44,0.0359433258762117,0.0029218533886583
22,Arroyofrenso,2,34,0.0574219680724326,0.0082987551867219
23,Artilleros,2,33,0.0753831717234907,0.0798755186721991
24,Arturo Soria,2,31,0.0784505208333333,0.0062816966343937
25,Ascao,2,32,0.0776918117343649,0.0950207468879668
26,Atocha,2,28,0.0842362810206221,0.0338413851017584
27,Av. de América,7,27,0.108023307933662,0.2821502113320057
28,Av. de Guadalajara,2,33,0.0712596096984033,0.0082987551867219
29,Av. de la Ilustración,2,32,0.0647327424120333,0.0246887966804979
30,Av. de la Paz,2,30,0.0834776584689989,0.0125374596588289
31,Avitación Española,2,27,0.0763382958504909,0.2188796680497925
32,Bambú,2,32,0.0740399385560676,0.0140110650069156
33,Banco de España,2,26,0.0962075848303393,0.0267289975757299
34,Barajas,2,33,0.0668515950069348,0.0082987551867219
35,Barrio de la Conceptión,2,30,0.0857346140163642,0.1032330567081604
36,Barrio del Pilar,2,32,0.0731189320388349,0.0246887966804979
37,Barrio del Puerto,2,38,0.0542792792792792,0.0487551867219917
38,Batán,2,24,0.0907379518072289,0.2401614470131066
39,Bautanal,2,42,0.0436673310382315,0.0165283540802213
